C0023015,Disorder of language (Language Disorders),Mental or Behavioral Dysfunction,C2363430,Early stage [Temporal Concept],Temporal Concept,"Disorders in which normal patterns of language acquisition are
                  disturbed from the early stages of development."
C0012634,condition (Disease),Disease or Syndrome,N C0012634,Disease,Disease or Syndrome,"This is
                  not simply a consequence of a lack of opportunity to learn, it
                  is not solely a result of mental retardation, and it is not
                  due to any form of acquired brain trauma or disease.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0012634,condition (Disease),Disease or Syndrome,N C3714756,Mental retardation (Intellectual Disability),Mental or Behavioral Dysfunction,"This is
                  not simply a consequence of a lack of opportunity to learn, it
                  is not solely a result of mental retardation, and it is not
                  due to any form of acquired brain trauma or disease.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0012634,condition (Disease),Disease or Syndrome,C0237477,Arrested (Arrested progression) [Temporal Concept],Temporal Concept,"This is
                  not simply a consequence of a lack of opportunity to learn, it
                  is not solely a result of mental retardation, and it is not
                  due to any form of acquired brain trauma or disease.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0012634,condition (Disease),Disease or Syndrome,N C0025362,MENTAL RETARDATION (Mental Retardation),Mental or Behavioral Dysfunction,"This is
                  not simply a consequence of a lack of opportunity to learn, it
                  is not solely a result of mental retardation, and it is not
                  due to any form of acquired brain trauma or disease.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0008073,Developmental Disorder (Developmental Disabilities),Mental or Behavioral Dysfunction,N C0012634,Disease,Disease or Syndrome,"This is
                  not simply a consequence of a lack of opportunity to learn, it
                  is not solely a result of mental retardation, and it is not
                  due to any form of acquired brain trauma or disease.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0008073,Developmental Disorder (Developmental Disabilities),Mental or Behavioral Dysfunction,N C3714756,Mental retardation (Intellectual Disability),Mental or Behavioral Dysfunction,"This is
                  not simply a consequence of a lack of opportunity to learn, it
                  is not solely a result of mental retardation, and it is not
                  due to any form of acquired brain trauma or disease.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0008073,Developmental Disorder (Developmental Disabilities),Mental or Behavioral Dysfunction,C0237477,Arrested (Arrested progression) [Temporal Concept],Temporal Concept,"This is
                  not simply a consequence of a lack of opportunity to learn, it
                  is not solely a result of mental retardation, and it is not
                  due to any form of acquired brain trauma or disease.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0008073,Developmental Disorder (Developmental Disabilities),Mental or Behavioral Dysfunction,N C0025362,MENTAL RETARDATION (Mental Retardation),Mental or Behavioral Dysfunction,"This is
                  not simply a consequence of a lack of opportunity to learn, it
                  is not solely a result of mental retardation, and it is not
                  due to any form of acquired brain trauma or disease.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
N C0012634,Disease,Disease or Syndrome,N C3714756,Mental retardation (Intellectual Disability),Mental or Behavioral Dysfunction,"This is
                  not simply a consequence of a lack of opportunity to learn, it
                  is not solely a result of mental retardation, and it is not
                  due to any form of acquired brain trauma or disease.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
N C0012634,Disease,Disease or Syndrome,C0237477,Arrested (Arrested progression) [Temporal Concept],Temporal Concept,"This is
                  not simply a consequence of a lack of opportunity to learn, it
                  is not solely a result of mental retardation, and it is not
                  due to any form of acquired brain trauma or disease.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
N C0012634,Disease,Disease or Syndrome,N C0025362,MENTAL RETARDATION (Mental Retardation),Mental or Behavioral Dysfunction,"This is
                  not simply a consequence of a lack of opportunity to learn, it
                  is not solely a result of mental retardation, and it is not
                  due to any form of acquired brain trauma or disease.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
N C3714756,Mental retardation (Intellectual Disability),Mental or Behavioral Dysfunction,C0237477,Arrested (Arrested progression) [Temporal Concept],Temporal Concept,"This is
                  not simply a consequence of a lack of opportunity to learn, it
                  is not solely a result of mental retardation, and it is not
                  due to any form of acquired brain trauma or disease.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
N C3714756,Mental retardation (Intellectual Disability),Mental or Behavioral Dysfunction,N C0025362,MENTAL RETARDATION (Mental Retardation),Mental or Behavioral Dysfunction,"This is
                  not simply a consequence of a lack of opportunity to learn, it
                  is not solely a result of mental retardation, and it is not
                  due to any form of acquired brain trauma or disease.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C0237477,Arrested (Arrested progression) [Temporal Concept],Temporal Concept,N C0025362,MENTAL RETARDATION (Mental Retardation),Mental or Behavioral Dysfunction,"This is
                  not simply a consequence of a lack of opportunity to learn, it
                  is not solely a result of mental retardation, and it is not
                  due to any form of acquired brain trauma or disease.A developmental disorder characterized by less than average intelligence and significant limitations in adaptive behavior with onset before the age of 18.A condition of arrested or incomplete development of the mind, which is especially characterized by impairment of skills manifested during the developmental period, which contribute to the overall level of intelligence, i.e."
C1512900,Interruption [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"cognitive, language, motor, and social abilities.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C2364135,DISCOMFORT (Discomfort),Sign or Symptom,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C3887505,DYSFUNCTION (DYSFUNCTION - SKIN DISORDERS),Disease or Syndrome,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C3887505,DYSFUNCTION (DYSFUNCTION - SKIN DISORDERS),Disease or Syndrome,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0039082,Syndromes (Syndrome),Disease or Syndrome,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,C0039082,Syndromes (Syndrome),Disease or Syndrome,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0039082,Syndromes (Syndrome),Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0012634,Disease,Disease or Syndrome,C1512900,Interruption [Temporal Concept],Temporal Concept,"These impairments can result from trauma, birth, or disease and are not restricted to any particular age group.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C0012634,Disease,Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"These impairments can result from trauma, birth, or disease and are not restricted to any particular age group.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C1512900,Interruption [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"These impairments can result from trauma, birth, or disease and are not restricted to any particular age group.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C2364135,DISCOMFORT (Discomfort),Sign or Symptom,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C3887505,DYSFUNCTION (DYSFUNCTION - SKIN DISORDERS),Disease or Syndrome,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C3887505,DYSFUNCTION (DYSFUNCTION - SKIN DISORDERS),Disease or Syndrome,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0039082,Syndromes (Syndrome),Disease or Syndrome,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,C0039082,Syndromes (Syndrome),Disease or Syndrome,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0039082,Syndromes (Syndrome),Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0679451,spelling difficulty (Difficulty in spelling),Mental or Behavioral Dysfunction,C0920296,Reading disorder NOS (Developmental reading disorder),Mental or Behavioral Dysfunction,"spelling difficulties:
                
                    associated with a reading disorder 
                  
                    due to inadequate teaching (Z55.8)A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C0679451,spelling difficulty (Difficulty in spelling),Mental or Behavioral Dysfunction,C0037789,reading disorder (Specific reading disorder),Mental or Behavioral Dysfunction,"spelling difficulties:
                
                    associated with a reading disorder 
                  
                    due to inadequate teaching (Z55.8)A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C0679451,spelling difficulty (Difficulty in spelling),Mental or Behavioral Dysfunction,C0476254,"Disorder, Reading (Dyslexia)",Mental or Behavioral Dysfunction,"spelling difficulties:
                
                    associated with a reading disorder 
                  
                    due to inadequate teaching (Z55.8)A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C0679451,spelling difficulty (Difficulty in spelling),Mental or Behavioral Dysfunction,C0009241,Cognitive Disorder (Cognition Disorders),Mental or Behavioral Dysfunction,"spelling difficulties:
                
                    associated with a reading disorder 
                  
                    due to inadequate teaching (Z55.8)A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C0920296,Reading disorder NOS (Developmental reading disorder),Mental or Behavioral Dysfunction,C0037789,reading disorder (Specific reading disorder),Mental or Behavioral Dysfunction,"spelling difficulties:
                
                    associated with a reading disorder 
                  
                    due to inadequate teaching (Z55.8)A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C0920296,Reading disorder NOS (Developmental reading disorder),Mental or Behavioral Dysfunction,C0476254,"Disorder, Reading (Dyslexia)",Mental or Behavioral Dysfunction,"spelling difficulties:
                
                    associated with a reading disorder 
                  
                    due to inadequate teaching (Z55.8)A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C0920296,Reading disorder NOS (Developmental reading disorder),Mental or Behavioral Dysfunction,C0009241,Cognitive Disorder (Cognition Disorders),Mental or Behavioral Dysfunction,"spelling difficulties:
                
                    associated with a reading disorder 
                  
                    due to inadequate teaching (Z55.8)A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C0037789,reading disorder (Specific reading disorder),Mental or Behavioral Dysfunction,C0476254,"Disorder, Reading (Dyslexia)",Mental or Behavioral Dysfunction,"spelling difficulties:
                
                    associated with a reading disorder 
                  
                    due to inadequate teaching (Z55.8)A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C0037789,reading disorder (Specific reading disorder),Mental or Behavioral Dysfunction,C0009241,Cognitive Disorder (Cognition Disorders),Mental or Behavioral Dysfunction,"spelling difficulties:
                
                    associated with a reading disorder 
                  
                    due to inadequate teaching (Z55.8)A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C0476254,"Disorder, Reading (Dyslexia)",Mental or Behavioral Dysfunction,C0009241,Cognitive Disorder (Cognition Disorders),Mental or Behavioral Dysfunction,"spelling difficulties:
                
                    associated with a reading disorder 
                  
                    due to inadequate teaching (Z55.8)A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C0920296,Developmental Dyslexia (Developmental reading disorder),Mental or Behavioral Dysfunction,C0238715,Fall (Autumn) [Temporal Concept],Temporal Concept,"Developmental dyslexia is marked by reading achievement that falls substantially below that expected given the individual's chronological age, measured intelligence, and age-appropriate education."
C1512900,Interruption [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"arithmetical difficulties:
                
                    associated with a reading or spelling disorder 
                  
                    due to inadequate teaching (Z55.8)Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C1512900,Interruption [Temporal Concept],Temporal Concept,C0012634,Disorder (Disease),Disease or Syndrome,"arithmetical difficulties:
                
                    associated with a reading or spelling disorder 
                  
                    due to inadequate teaching (Z55.8)Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0012634,Disorder (Disease),Disease or Syndrome,"arithmetical difficulties:
                
                    associated with a reading or spelling disorder 
                  
                    due to inadequate teaching (Z55.8)Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C2364135,DISCOMFORT (Discomfort),Sign or Symptom,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C3887505,DYSFUNCTION (DYSFUNCTION - SKIN DISORDERS),Disease or Syndrome,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C3887505,DYSFUNCTION (DYSFUNCTION - SKIN DISORDERS),Disease or Syndrome,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0039082,Syndromes (Syndrome),Disease or Syndrome,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,C0039082,Syndromes (Syndrome),Disease or Syndrome,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0039082,Syndromes (Syndrome),Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1411876,Disorder of arithmetical skills (Developmental arithmetic disorder),Mental or Behavioral Dysfunction,C0920296,Reading disorder NOS (Developmental reading disorder),Mental or Behavioral Dysfunction,"specific:
                
                    disorder of arithmetical skills 
                  
                    reading disorder 
                  
                    spelling disorder A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C1411876,Disorder of arithmetical skills (Developmental arithmetic disorder),Mental or Behavioral Dysfunction,C0037789,reading disorder (Specific reading disorder),Mental or Behavioral Dysfunction,"specific:
                
                    disorder of arithmetical skills 
                  
                    reading disorder 
                  
                    spelling disorder A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C1411876,Disorder of arithmetical skills (Developmental arithmetic disorder),Mental or Behavioral Dysfunction,C0476254,"Disorder, Reading (Dyslexia)",Mental or Behavioral Dysfunction,"specific:
                
                    disorder of arithmetical skills 
                  
                    reading disorder 
                  
                    spelling disorder A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C1411876,Disorder of arithmetical skills (Developmental arithmetic disorder),Mental or Behavioral Dysfunction,C0009241,Cognitive Disorder (Cognition Disorders),Mental or Behavioral Dysfunction,"specific:
                
                    disorder of arithmetical skills 
                  
                    reading disorder 
                  
                    spelling disorder A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C1411876,Disorder of arithmetical skills (Developmental arithmetic disorder),Mental or Behavioral Dysfunction,C0012634,Disorder (Disease),Disease or Syndrome,"specific:
                
                    disorder of arithmetical skills 
                  
                    reading disorder 
                  
                    spelling disorder A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C0920296,Reading disorder NOS (Developmental reading disorder),Mental or Behavioral Dysfunction,C0037789,reading disorder (Specific reading disorder),Mental or Behavioral Dysfunction,"specific:
                
                    disorder of arithmetical skills 
                  
                    reading disorder 
                  
                    spelling disorder A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C0920296,Reading disorder NOS (Developmental reading disorder),Mental or Behavioral Dysfunction,C0476254,"Disorder, Reading (Dyslexia)",Mental or Behavioral Dysfunction,"specific:
                
                    disorder of arithmetical skills 
                  
                    reading disorder 
                  
                    spelling disorder A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C0920296,Reading disorder NOS (Developmental reading disorder),Mental or Behavioral Dysfunction,C0009241,Cognitive Disorder (Cognition Disorders),Mental or Behavioral Dysfunction,"specific:
                
                    disorder of arithmetical skills 
                  
                    reading disorder 
                  
                    spelling disorder A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C0920296,Reading disorder NOS (Developmental reading disorder),Mental or Behavioral Dysfunction,C0012634,Disorder (Disease),Disease or Syndrome,"specific:
                
                    disorder of arithmetical skills 
                  
                    reading disorder 
                  
                    spelling disorder A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C0037789,reading disorder (Specific reading disorder),Mental or Behavioral Dysfunction,C0476254,"Disorder, Reading (Dyslexia)",Mental or Behavioral Dysfunction,"specific:
                
                    disorder of arithmetical skills 
                  
                    reading disorder 
                  
                    spelling disorder A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C0037789,reading disorder (Specific reading disorder),Mental or Behavioral Dysfunction,C0009241,Cognitive Disorder (Cognition Disorders),Mental or Behavioral Dysfunction,"specific:
                
                    disorder of arithmetical skills 
                  
                    reading disorder 
                  
                    spelling disorder A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C0037789,reading disorder (Specific reading disorder),Mental or Behavioral Dysfunction,C0012634,Disorder (Disease),Disease or Syndrome,"specific:
                
                    disorder of arithmetical skills 
                  
                    reading disorder 
                  
                    spelling disorder A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C0476254,"Disorder, Reading (Dyslexia)",Mental or Behavioral Dysfunction,C0009241,Cognitive Disorder (Cognition Disorders),Mental or Behavioral Dysfunction,"specific:
                
                    disorder of arithmetical skills 
                  
                    reading disorder 
                  
                    spelling disorder A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C0476254,"Disorder, Reading (Dyslexia)",Mental or Behavioral Dysfunction,C0012634,Disorder (Disease),Disease or Syndrome,"specific:
                
                    disorder of arithmetical skills 
                  
                    reading disorder 
                  
                    spelling disorder A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C0009241,Cognitive Disorder (Cognition Disorders),Mental or Behavioral Dysfunction,C0012634,Disorder (Disease),Disease or Syndrome,"specific:
                
                    disorder of arithmetical skills 
                  
                    reading disorder 
                  
                    spelling disorder A cognitive disorder characterized by an impaired ability to comprehend written and printed words or phrases despite intact vision."
C0920296,Developmental Dyslexia (Developmental reading disorder),Mental or Behavioral Dysfunction,C0238715,Fall (Autumn) [Temporal Concept],Temporal Concept,"Developmental dyslexia is marked by reading achievement that falls substantially below that expected given the individual's chronological age, measured intelligence, and age-appropriate education."
C1512900,Interruption [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"Oral and silent reading difficulties can include faulty and slow comprehension.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C2364135,DISCOMFORT (Discomfort),Sign or Symptom,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C3887505,DYSFUNCTION (DYSFUNCTION - SKIN DISORDERS),Disease or Syndrome,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C3887505,DYSFUNCTION (DYSFUNCTION - SKIN DISORDERS),Disease or Syndrome,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0039082,Syndromes (Syndrome),Disease or Syndrome,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,C0039082,Syndromes (Syndrome),Disease or Syndrome,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0039082,Syndromes (Syndrome),Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
