C0002395,ALZHEIMER DISEASE (Alzheimer's Disease),Disease or Syndrome,C0234387,Cerebral Disease (Cerebral disorder),Disease or Syndrome,  Alzheimer disease is a primary degenerative cerebral disease of unknown etiology with characteristic neuropathological and neurochemical features.
C0006118,Brain Tumors (Brain Neoplasms),Neoplastic Process,C0002395,Alzheimers Disease (Alzheimer's Disease),Disease or Syndrome,"Causes include Alzheimer's disease, brain injuries, brain tumors, and vascular disorders.An acquired organic mental disorder with loss of intellectual abilities of sufficient severity to interfere with social or occupational functioning."
C0006118,Brain Tumors (Brain Neoplasms),Neoplastic Process,C0042373,Vascular Disorders (Vascular Diseases),Disease or Syndrome,"Causes include Alzheimer's disease, brain injuries, brain tumors, and vascular disorders.An acquired organic mental disorder with loss of intellectual abilities of sufficient severity to interfere with social or occupational functioning."
C0152097,Disorder of diaphragm (Disease of diaphragm),Disease or Syndrome,C0002395,Alzheimers Disease (Alzheimer's Disease),Disease or Syndrome,"Causes include Alzheimer's disease, brain injuries, brain tumors, and vascular disorders.An acquired organic mental disorder with loss of intellectual abilities of sufficient severity to interfere with social or occupational functioning."
C0152097,Disorder of diaphragm (Disease of diaphragm),Disease or Syndrome,C0042373,Vascular Disorders (Vascular Diseases),Disease or Syndrome,"Causes include Alzheimer's disease, brain injuries, brain tumors, and vascular disorders.An acquired organic mental disorder with loss of intellectual abilities of sufficient severity to interfere with social or occupational functioning."
C0002395,Alzheimers Disease (Alzheimer's Disease),Disease or Syndrome,C0042373,Vascular Disorders (Vascular Diseases),Disease or Syndrome,"Causes include Alzheimer's disease, brain injuries, brain tumors, and vascular disorders.An acquired organic mental disorder with loss of intellectual abilities of sufficient severity to interfere with social or occupational functioning."
C0003944,personality (As If Personality),Mental or Behavioral Dysfunction,C3887505,DYSFUNCTION (DYSFUNCTION - SKIN DISORDERS),Disease or Syndrome,"The dysfunction is multifaceted and involves memory, behavior, personality, judgment, attention, spatial relations, language, abstract thought, and other executive functions."
C0205420,Concurrent [Temporal Concept],Temporal Concept,N C0019693,HIV condition (HIV Infections),Disease or Syndrome,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
C0205420,Concurrent [Temporal Concept],Temporal Concept,N C0221423,Illness (Illness (finding)),Sign or Symptom,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
C0205420,Concurrent [Temporal Concept],Temporal Concept,C1141957,HIV Disease Course,Disease or Syndrome,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
C0205420,Concurrent [Temporal Concept],Temporal Concept,C0009450,"Infection, NOS (Communicable Diseases)",Disease or Syndrome,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
C0205420,Concurrent [Temporal Concept],Temporal Concept,C0012634,condition (Disease),Disease or Syndrome,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
C0205420,Concurrent [Temporal Concept],Temporal Concept,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
C0205420,Concurrent [Temporal Concept],Temporal Concept,C0019693,HIV Infection (HIV Infections),Disease or Syndrome,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
C0205420,Concurrent [Temporal Concept],Temporal Concept,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
N C0019693,HIV condition (HIV Infections),Disease or Syndrome,N C0221423,Illness (Illness (finding)),Sign or Symptom,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
N C0019693,HIV condition (HIV Infections),Disease or Syndrome,C1141957,HIV Disease Course,Disease or Syndrome,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
N C0019693,HIV condition (HIV Infections),Disease or Syndrome,C0009450,"Infection, NOS (Communicable Diseases)",Disease or Syndrome,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
N C0019693,HIV condition (HIV Infections),Disease or Syndrome,C0012634,condition (Disease),Disease or Syndrome,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
N C0019693,HIV condition (HIV Infections),Disease or Syndrome,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
N C0019693,HIV condition (HIV Infections),Disease or Syndrome,C0019693,HIV Infection (HIV Infections),Disease or Syndrome,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
N C0019693,HIV condition (HIV Infections),Disease or Syndrome,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
N C0221423,Illness (Illness (finding)),Sign or Symptom,C1141957,HIV Disease Course,Disease or Syndrome,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
N C0221423,Illness (Illness (finding)),Sign or Symptom,C0009450,"Infection, NOS (Communicable Diseases)",Disease or Syndrome,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
N C0221423,Illness (Illness (finding)),Sign or Symptom,C0012634,condition (Disease),Disease or Syndrome,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
N C0221423,Illness (Illness (finding)),Sign or Symptom,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
N C0221423,Illness (Illness (finding)),Sign or Symptom,C0019693,HIV Infection (HIV Infections),Disease or Syndrome,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
N C0221423,Illness (Illness (finding)),Sign or Symptom,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
C1141957,HIV Disease Course,Disease or Syndrome,C0009450,"Infection, NOS (Communicable Diseases)",Disease or Syndrome,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
C1141957,HIV Disease Course,Disease or Syndrome,C0012634,condition (Disease),Disease or Syndrome,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
C1141957,HIV Disease Course,Disease or Syndrome,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
C1141957,HIV Disease Course,Disease or Syndrome,C0019693,HIV Infection (HIV Infections),Disease or Syndrome,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
C1141957,HIV Disease Course,Disease or Syndrome,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
C0009450,"Infection, NOS (Communicable Diseases)",Disease or Syndrome,C0012634,condition (Disease),Disease or Syndrome,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
C0009450,"Infection, NOS (Communicable Diseases)",Disease or Syndrome,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
C0009450,"Infection, NOS (Communicable Diseases)",Disease or Syndrome,C0019693,HIV Infection (HIV Infections),Disease or Syndrome,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
C0009450,"Infection, NOS (Communicable Diseases)",Disease or Syndrome,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
C0012634,condition (Disease),Disease or Syndrome,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
C0012634,condition (Disease),Disease or Syndrome,C0019693,HIV Infection (HIV Infections),Disease or Syndrome,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
C0012634,condition (Disease),Disease or Syndrome,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0019693,HIV Infection (HIV Infections),Disease or Syndrome,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
C0019693,HIV Infection (HIV Infections),Disease or Syndrome,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"  Dementia developing in the course of HIV disease, in the absence of a concurrent illness or condition other than HIV infection that could explain the clinical features."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C0231218,Ill (Malaise),Sign or Symptom,"The presence of dementia in an individual younger than age sixty five.A state of ill health, bodily malfunction, or discomfort.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C0332239,Young [Temporal Concept],Temporal Concept,"The presence of dementia in an individual younger than age sixty five.A state of ill health, bodily malfunction, or discomfort.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C1512900,Interruption [Temporal Concept],Temporal Concept,"The presence of dementia in an individual younger than age sixty five.A state of ill health, bodily malfunction, or discomfort.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The presence of dementia in an individual younger than age sixty five.A state of ill health, bodily malfunction, or discomfort.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"The presence of dementia in an individual younger than age sixty five.A state of ill health, bodily malfunction, or discomfort.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"The presence of dementia in an individual younger than age sixty five.A state of ill health, bodily malfunction, or discomfort.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C0231218,Ill (Malaise),Sign or Symptom,C0332239,Young [Temporal Concept],Temporal Concept,"The presence of dementia in an individual younger than age sixty five.A state of ill health, bodily malfunction, or discomfort.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C0231218,Ill (Malaise),Sign or Symptom,C1512900,Interruption [Temporal Concept],Temporal Concept,"The presence of dementia in an individual younger than age sixty five.A state of ill health, bodily malfunction, or discomfort.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C0231218,Ill (Malaise),Sign or Symptom,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The presence of dementia in an individual younger than age sixty five.A state of ill health, bodily malfunction, or discomfort.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C0231218,Ill (Malaise),Sign or Symptom,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"The presence of dementia in an individual younger than age sixty five.A state of ill health, bodily malfunction, or discomfort.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C0231218,Ill (Malaise),Sign or Symptom,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"The presence of dementia in an individual younger than age sixty five.A state of ill health, bodily malfunction, or discomfort.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C0332239,Young [Temporal Concept],Temporal Concept,C1512900,Interruption [Temporal Concept],Temporal Concept,"The presence of dementia in an individual younger than age sixty five.A state of ill health, bodily malfunction, or discomfort.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C0332239,Young [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The presence of dementia in an individual younger than age sixty five.A state of ill health, bodily malfunction, or discomfort.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C0332239,Young [Temporal Concept],Temporal Concept,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"The presence of dementia in an individual younger than age sixty five.A state of ill health, bodily malfunction, or discomfort.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C0332239,Young [Temporal Concept],Temporal Concept,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"The presence of dementia in an individual younger than age sixty five.A state of ill health, bodily malfunction, or discomfort.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C1512900,Interruption [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The presence of dementia in an individual younger than age sixty five.A state of ill health, bodily malfunction, or discomfort.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C1512900,Interruption [Temporal Concept],Temporal Concept,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"The presence of dementia in an individual younger than age sixty five.A state of ill health, bodily malfunction, or discomfort.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C1512900,Interruption [Temporal Concept],Temporal Concept,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"The presence of dementia in an individual younger than age sixty five.A state of ill health, bodily malfunction, or discomfort.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"The presence of dementia in an individual younger than age sixty five.A state of ill health, bodily malfunction, or discomfort.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"The presence of dementia in an individual younger than age sixty five.A state of ill health, bodily malfunction, or discomfort.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"The presence of dementia in an individual younger than age sixty five.A state of ill health, bodily malfunction, or discomfort.Any deviation from or interruption of the normal structure or function of a part, organ, or system of the body as manifested by characteristic symptoms and signs."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C2364135,DISCOMFORT (Discomfort),Sign or Symptom,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C3887505,DYSFUNCTION (DYSFUNCTION - SKIN DISORDERS),Disease or Syndrome,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C2364135,DISCOMFORT (Discomfort),Sign or Symptom,C3887505,DYSFUNCTION (DYSFUNCTION - SKIN DISORDERS),Disease or Syndrome,"[Dorland's Medical Dictionary]In medicine, a health problem with certain characteristics or symptoms.Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person."
C0039082,Syndromes (Syndrome),Disease or Syndrome,C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0039082,Syndromes (Syndrome),Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0039082,Syndromes (Syndrome),Disease or Syndrome,C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1515273,Term (Term (temporal)) [Temporal Concept],Temporal Concept,C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,"The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.A definite pathologic process with a characteristic set of signs and symptoms."
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"It may affect the whole body or any of its parts, and its etiology, pathology, and prognosis may be known or unknown.What is dementia?"
C0332173,Daily [Temporal Concept],Temporal Concept,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,Dementia is a loss of mental functions that is severe enough to affect your daily life and activities.
C0332173,Daily [Temporal Concept],Temporal Concept,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,Dementia is a loss of mental functions that is severe enough to affect your daily life and activities.
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,Dementia is a loss of mental functions that is severe enough to affect your daily life and activities.
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,But dementia is not a normal part of aging.
C0012634,Disorder (Disease),Disease or Syndrome,C0332173,Daily [Temporal Concept],Temporal Concept,It is a serious disorder which interferes with your daily life.
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,What are the types of dementia?
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0524851,Neurodegenerative Disorders,Disease or Syndrome,The most common types of dementia are known as neurodegenerative disorders.
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,The most common types of dementia are known as neurodegenerative disorders.
C0524851,Neurodegenerative Disorders,Disease or Syndrome,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,The most common types of dementia are known as neurodegenerative disorders.
C2746065,Stop (Stop (qualifier value)) [Temporal Concept],Temporal Concept,C0012634,Diseases (Disease),Disease or Syndrome,These are diseases in which the cells of the brain stop working or die.
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0002395,Alzheimers Disease (Alzheimer's Disease),Disease or Syndrome,"They include  Alzheimer's disease, which is the most common form of dementia among older people."
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"They include  Alzheimer's disease, which is the most common form of dementia among older people."
C0002395,Alzheimers Disease (Alzheimer's Disease),Disease or Syndrome,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"They include  Alzheimer's disease, which is the most common form of dementia among older people."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"Lewy body dementia, which causes movement symptoms along with dementia."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0752347,LEWY BODY DEMENTIA (Lewy Body Disease),Disease or Syndrome,"Lewy body dementia, which causes movement symptoms along with dementia."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Lewy body dementia, which causes movement symptoms along with dementia."
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0752347,LEWY BODY DEMENTIA (Lewy Body Disease),Disease or Syndrome,"Lewy body dementia, which causes movement symptoms along with dementia."
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Lewy body dementia, which causes movement symptoms along with dementia."
C0752347,LEWY BODY DEMENTIA (Lewy Body Disease),Disease or Syndrome,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Lewy body dementia, which causes movement symptoms along with dementia."
C0004941,Behavioral Symptoms,Sign or Symptom,C0233459,Emotional disorder,Mental or Behavioral Dysfunction,"Frontotemporal disorders, which cause changes to certain parts of the brain:  Changes in the frontal lobe lead to behavioral symptoms Changes in the temporal lobe lead to language and emotional disorders   Vascular dementia, which involves changes to the brain's blood supply."
C0004941,Behavioral Symptoms,Sign or Symptom,C0012634,Disorders (Disease),Disease or Syndrome,"Frontotemporal disorders, which cause changes to certain parts of the brain:  Changes in the frontal lobe lead to behavioral symptoms Changes in the temporal lobe lead to language and emotional disorders   Vascular dementia, which involves changes to the brain's blood supply."
C0004941,Behavioral Symptoms,Sign or Symptom,C0011269,"Dementia, Vascular",Disease or Syndrome,"Frontotemporal disorders, which cause changes to certain parts of the brain:  Changes in the frontal lobe lead to behavioral symptoms Changes in the temporal lobe lead to language and emotional disorders   Vascular dementia, which involves changes to the brain's blood supply."
C0233459,Emotional disorder,Mental or Behavioral Dysfunction,C0012634,Disorders (Disease),Disease or Syndrome,"Frontotemporal disorders, which cause changes to certain parts of the brain:  Changes in the frontal lobe lead to behavioral symptoms Changes in the temporal lobe lead to language and emotional disorders   Vascular dementia, which involves changes to the brain's blood supply."
C0233459,Emotional disorder,Mental or Behavioral Dysfunction,C0011269,"Dementia, Vascular",Disease or Syndrome,"Frontotemporal disorders, which cause changes to certain parts of the brain:  Changes in the frontal lobe lead to behavioral symptoms Changes in the temporal lobe lead to language and emotional disorders   Vascular dementia, which involves changes to the brain's blood supply."
C0012634,Disorders (Disease),Disease or Syndrome,C0011269,"Dementia, Vascular",Disease or Syndrome,"Frontotemporal disorders, which cause changes to certain parts of the brain:  Changes in the frontal lobe lead to behavioral symptoms Changes in the temporal lobe lead to language and emotional disorders   Vascular dementia, which involves changes to the brain's blood supply."
C0003850,ATHEROSCLEROSIS (Arteriosclerosis),Disease or Syndrome,C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,It is often caused by a stroke or atherosclerosis (hardening of the arteries) in the brain.
C0003850,ATHEROSCLEROSIS (Arteriosclerosis),Disease or Syndrome,C0004153,ATHEROSCLEROSIS (Atherosclerosis),Disease or Syndrome,It is often caused by a stroke or atherosclerosis (hardening of the arteries) in the brain.
C0003850,ATHEROSCLEROSIS (Arteriosclerosis),Disease or Syndrome,C0038454,STROKE (Cerebrovascular accident),Disease or Syndrome,It is often caused by a stroke or atherosclerosis (hardening of the arteries) in the brain.
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0004153,ATHEROSCLEROSIS (Atherosclerosis),Disease or Syndrome,It is often caused by a stroke or atherosclerosis (hardening of the arteries) in the brain.
C0332183,Often (Frequently) [Temporal Concept],Temporal Concept,C0038454,STROKE (Cerebrovascular accident),Disease or Syndrome,It is often caused by a stroke or atherosclerosis (hardening of the arteries) in the brain.
C0004153,ATHEROSCLEROSIS (Atherosclerosis),Disease or Syndrome,C0038454,STROKE (Cerebrovascular accident),Disease or Syndrome,It is often caused by a stroke or atherosclerosis (hardening of the arteries) in the brain.
C3532942,Mixed dementia,Mental or Behavioral Dysfunction,C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,"Mixed dementia, which is a combination of two or more types of dementia."
C3532942,Mixed dementia,Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Mixed dementia, which is a combination of two or more types of dementia."
C0497327,DEMENTIA (Dementia),Mental or Behavioral Dysfunction,C0011265,dementia (Presenile dementia),Mental or Behavioral Dysfunction,"Mixed dementia, which is a combination of two or more types of dementia."
C0002395,Alzheimers Disease (Alzheimer's Disease),Disease or Syndrome,C0011269,"Dementia, Vascular",Disease or Syndrome,"For example, some people have both Alzheimer's disease and vascular dementia."
C4082769,Chronic Traumatic Encephalopathy,Disease or Syndrome,C0678236,Rare Disorder (Rare Diseases),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C4082769,Chronic Traumatic Encephalopathy,Disease or Syndrome,C0022336,Creutzfeldt-Jacob Disease (Creutzfeldt-Jakob disease),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C4082769,Chronic Traumatic Encephalopathy,Disease or Syndrome,C0020179,huntingtons disease (Huntington Disease),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C4082769,Chronic Traumatic Encephalopathy,Disease or Syndrome,C4280575,Progressive brain disease,Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
C4082769,Chronic Traumatic Encephalopathy,Disease or Syndrome,C0001849,dementia HIV (AIDS Dementia Complex),Disease or Syndrome,"Other conditions can cause dementia or dementia-like symptoms, including  Creutzfeldt-Jakob disease, a rare brain disorder Huntington's disease, an inherited, progressive brain disease Chronic traumatic encephalopathy (CTE), caused by repeated traumatic brain injury HIV-associated dementia (HAD)  Who is at risk for dementia?"
