C0332239,Young [Temporal Concept],Temporal Concept,C0580836,Old [Temporal Concept],Temporal Concept,"It occurs most commonly inadolescent girls and young women, but adolescent boys andyoung men may also be affected, as may children approachingpuberty and older women up to the menopause."
C0851578,SLEEP DISORDER (Sleep Disorders),Mental or Behavioral Dysfunction,C0012634,Disorders (Disease),Disease or Syndrome,"(From Thorpy, Sleep Disorders Medicine, 1994, p187)Excessive or prolonged sleep.A sleep disorder characterized by excessive sleepiness.A disorder characterized by characterized by excessive sleepiness during the daytime.Excessive or prolonged sleep.A sleep disorder characterized by excessive sleepiness.A disorder characterized by characterized by excessive sleepiness during the daytime.What are mental disorders?"
C0851578,SLEEP DISORDER (Sleep Disorders),Mental or Behavioral Dysfunction,C0004936,MENTAL DISORDERS (Mental disorders),Mental or Behavioral Dysfunction,"(From Thorpy, Sleep Disorders Medicine, 1994, p187)Excessive or prolonged sleep.A sleep disorder characterized by excessive sleepiness.A disorder characterized by characterized by excessive sleepiness during the daytime.Excessive or prolonged sleep.A sleep disorder characterized by excessive sleepiness.A disorder characterized by characterized by excessive sleepiness during the daytime.What are mental disorders?"
C0851578,SLEEP DISORDER (Sleep Disorders),Mental or Behavioral Dysfunction,C0917799,Excessive sleepiness (Hypersomnia),Disease or Syndrome,"(From Thorpy, Sleep Disorders Medicine, 1994, p187)Excessive or prolonged sleep.A sleep disorder characterized by excessive sleepiness.A disorder characterized by characterized by excessive sleepiness during the daytime.Excessive or prolonged sleep.A sleep disorder characterized by excessive sleepiness.A disorder characterized by characterized by excessive sleepiness during the daytime.What are mental disorders?"
C0332169,Daytime [Temporal Concept],Temporal Concept,C0012634,Disorders (Disease),Disease or Syndrome,"(From Thorpy, Sleep Disorders Medicine, 1994, p187)Excessive or prolonged sleep.A sleep disorder characterized by excessive sleepiness.A disorder characterized by characterized by excessive sleepiness during the daytime.Excessive or prolonged sleep.A sleep disorder characterized by excessive sleepiness.A disorder characterized by characterized by excessive sleepiness during the daytime.What are mental disorders?"
C0332169,Daytime [Temporal Concept],Temporal Concept,C0004936,MENTAL DISORDERS (Mental disorders),Mental or Behavioral Dysfunction,"(From Thorpy, Sleep Disorders Medicine, 1994, p187)Excessive or prolonged sleep.A sleep disorder characterized by excessive sleepiness.A disorder characterized by characterized by excessive sleepiness during the daytime.Excessive or prolonged sleep.A sleep disorder characterized by excessive sleepiness.A disorder characterized by characterized by excessive sleepiness during the daytime.What are mental disorders?"
C0332169,Daytime [Temporal Concept],Temporal Concept,C0917799,Excessive sleepiness (Hypersomnia),Disease or Syndrome,"(From Thorpy, Sleep Disorders Medicine, 1994, p187)Excessive or prolonged sleep.A sleep disorder characterized by excessive sleepiness.A disorder characterized by characterized by excessive sleepiness during the daytime.Excessive or prolonged sleep.A sleep disorder characterized by excessive sleepiness.A disorder characterized by characterized by excessive sleepiness during the daytime.What are mental disorders?"
C0012634,Disorders (Disease),Disease or Syndrome,C0004936,MENTAL DISORDERS (Mental disorders),Mental or Behavioral Dysfunction,"(From Thorpy, Sleep Disorders Medicine, 1994, p187)Excessive or prolonged sleep.A sleep disorder characterized by excessive sleepiness.A disorder characterized by characterized by excessive sleepiness during the daytime.Excessive or prolonged sleep.A sleep disorder characterized by excessive sleepiness.A disorder characterized by characterized by excessive sleepiness during the daytime.What are mental disorders?"
C0012634,Disorders (Disease),Disease or Syndrome,C0917799,Excessive sleepiness (Hypersomnia),Disease or Syndrome,"(From Thorpy, Sleep Disorders Medicine, 1994, p187)Excessive or prolonged sleep.A sleep disorder characterized by excessive sleepiness.A disorder characterized by characterized by excessive sleepiness during the daytime.Excessive or prolonged sleep.A sleep disorder characterized by excessive sleepiness.A disorder characterized by characterized by excessive sleepiness during the daytime.What are mental disorders?"
C0004936,MENTAL DISORDERS (Mental disorders),Mental or Behavioral Dysfunction,C0917799,Excessive sleepiness (Hypersomnia),Disease or Syndrome,"(From Thorpy, Sleep Disorders Medicine, 1994, p187)Excessive or prolonged sleep.A sleep disorder characterized by excessive sleepiness.A disorder characterized by characterized by excessive sleepiness during the daytime.Excessive or prolonged sleep.A sleep disorder characterized by excessive sleepiness.A disorder characterized by characterized by excessive sleepiness during the daytime.What are mental disorders?"
C0004936,Mental Illness (Mental disorders),Mental or Behavioral Dysfunction,C0012634,condition (Disease),Disease or Syndrome,"Mental disorders (or mental illnesses) are conditions that affect your thinking, feeling, mood, and behavior."
C0004936,Mental Illness (Mental disorders),Mental or Behavioral Dysfunction,C0004936,MENTAL DISORDERS (Mental disorders),Mental or Behavioral Dysfunction,"Mental disorders (or mental illnesses) are conditions that affect your thinking, feeling, mood, and behavior."
C0012634,condition (Disease),Disease or Syndrome,C0004936,MENTAL DISORDERS (Mental disorders),Mental or Behavioral Dysfunction,"Mental disorders (or mental illnesses) are conditions that affect your thinking, feeling, mood, and behavior."
C0521114,Occasional (Infrequent) [Temporal Concept],Temporal Concept,C0205191,CHRONIC (chronic) [Temporal Concept],Temporal Concept,They may be occasional or long-lasting (chronic).
C0439505,/day (per day) [Temporal Concept],Temporal Concept,C0439228,Day (day) [Temporal Concept],Temporal Concept,They can affect your ability to relate to others and function each day.
C0439505,/day (per day) [Temporal Concept],Temporal Concept,C0332173,/day (Daily) [Temporal Concept],Temporal Concept,They can affect your ability to relate to others and function each day.
C0439228,Day (day) [Temporal Concept],Temporal Concept,C0332173,/day (Daily) [Temporal Concept],Temporal Concept,They can affect your ability to relate to others and function each day.
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0005586,Bipolar Disorder,Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0525045,"Disorders, Mood (Mood Disorders)",Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0038436,Posttraumatic stress disorder (Post-Traumatic Stress Disorder),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0003469,ANXIETY DISORDERS (Anxiety Disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0349231,PHOBIAS (Phobic anxiety disorder),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0031212,PERSONALITY DISORDERS (Personality Disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0033975,Psychotic Disorders,Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0036341,SCHIZOPHRENIA (Schizophrenia),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0028768,OBSESSIVE COMPULSIVE DISORDER (Obsessive-Compulsive Disorder),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0004936,MENTAL DISORDERS (Mental disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0013473,EATING DISORDERS (Eating Disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0030319,"Disorder, Panic (Panic Disorder)",Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0005586,Bipolar Disorder,Mental or Behavioral Dysfunction,C0525045,"Disorders, Mood (Mood Disorders)",Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0005586,Bipolar Disorder,Mental or Behavioral Dysfunction,C0038436,Posttraumatic stress disorder (Post-Traumatic Stress Disorder),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0005586,Bipolar Disorder,Mental or Behavioral Dysfunction,C0003469,ANXIETY DISORDERS (Anxiety Disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0005586,Bipolar Disorder,Mental or Behavioral Dysfunction,C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0005586,Bipolar Disorder,Mental or Behavioral Dysfunction,C0349231,PHOBIAS (Phobic anxiety disorder),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0005586,Bipolar Disorder,Mental or Behavioral Dysfunction,C0031212,PERSONALITY DISORDERS (Personality Disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0005586,Bipolar Disorder,Mental or Behavioral Dysfunction,C0033975,Psychotic Disorders,Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0005586,Bipolar Disorder,Mental or Behavioral Dysfunction,C0036341,SCHIZOPHRENIA (Schizophrenia),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0005586,Bipolar Disorder,Mental or Behavioral Dysfunction,C0028768,OBSESSIVE COMPULSIVE DISORDER (Obsessive-Compulsive Disorder),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0005586,Bipolar Disorder,Mental or Behavioral Dysfunction,C0004936,MENTAL DISORDERS (Mental disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0005586,Bipolar Disorder,Mental or Behavioral Dysfunction,C0013473,EATING DISORDERS (Eating Disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0005586,Bipolar Disorder,Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0005586,Bipolar Disorder,Mental or Behavioral Dysfunction,C0030319,"Disorder, Panic (Panic Disorder)",Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0525045,"Disorders, Mood (Mood Disorders)",Mental or Behavioral Dysfunction,C0038436,Posttraumatic stress disorder (Post-Traumatic Stress Disorder),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0525045,"Disorders, Mood (Mood Disorders)",Mental or Behavioral Dysfunction,C0003469,ANXIETY DISORDERS (Anxiety Disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0525045,"Disorders, Mood (Mood Disorders)",Mental or Behavioral Dysfunction,C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0525045,"Disorders, Mood (Mood Disorders)",Mental or Behavioral Dysfunction,C0349231,PHOBIAS (Phobic anxiety disorder),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0525045,"Disorders, Mood (Mood Disorders)",Mental or Behavioral Dysfunction,C0031212,PERSONALITY DISORDERS (Personality Disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0525045,"Disorders, Mood (Mood Disorders)",Mental or Behavioral Dysfunction,C0033975,Psychotic Disorders,Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0525045,"Disorders, Mood (Mood Disorders)",Mental or Behavioral Dysfunction,C0036341,SCHIZOPHRENIA (Schizophrenia),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0525045,"Disorders, Mood (Mood Disorders)",Mental or Behavioral Dysfunction,C0028768,OBSESSIVE COMPULSIVE DISORDER (Obsessive-Compulsive Disorder),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0525045,"Disorders, Mood (Mood Disorders)",Mental or Behavioral Dysfunction,C0004936,MENTAL DISORDERS (Mental disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0525045,"Disorders, Mood (Mood Disorders)",Mental or Behavioral Dysfunction,C0013473,EATING DISORDERS (Eating Disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0525045,"Disorders, Mood (Mood Disorders)",Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0525045,"Disorders, Mood (Mood Disorders)",Mental or Behavioral Dysfunction,C0030319,"Disorder, Panic (Panic Disorder)",Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0038436,Posttraumatic stress disorder (Post-Traumatic Stress Disorder),Mental or Behavioral Dysfunction,C0003469,ANXIETY DISORDERS (Anxiety Disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0038436,Posttraumatic stress disorder (Post-Traumatic Stress Disorder),Mental or Behavioral Dysfunction,C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0038436,Posttraumatic stress disorder (Post-Traumatic Stress Disorder),Mental or Behavioral Dysfunction,C0349231,PHOBIAS (Phobic anxiety disorder),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0038436,Posttraumatic stress disorder (Post-Traumatic Stress Disorder),Mental or Behavioral Dysfunction,C0031212,PERSONALITY DISORDERS (Personality Disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0038436,Posttraumatic stress disorder (Post-Traumatic Stress Disorder),Mental or Behavioral Dysfunction,C0033975,Psychotic Disorders,Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0038436,Posttraumatic stress disorder (Post-Traumatic Stress Disorder),Mental or Behavioral Dysfunction,C0036341,SCHIZOPHRENIA (Schizophrenia),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0038436,Posttraumatic stress disorder (Post-Traumatic Stress Disorder),Mental or Behavioral Dysfunction,C0028768,OBSESSIVE COMPULSIVE DISORDER (Obsessive-Compulsive Disorder),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0038436,Posttraumatic stress disorder (Post-Traumatic Stress Disorder),Mental or Behavioral Dysfunction,C0004936,MENTAL DISORDERS (Mental disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0038436,Posttraumatic stress disorder (Post-Traumatic Stress Disorder),Mental or Behavioral Dysfunction,C0013473,EATING DISORDERS (Eating Disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0038436,Posttraumatic stress disorder (Post-Traumatic Stress Disorder),Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0038436,Posttraumatic stress disorder (Post-Traumatic Stress Disorder),Mental or Behavioral Dysfunction,C0030319,"Disorder, Panic (Panic Disorder)",Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0003469,ANXIETY DISORDERS (Anxiety Disorders),Mental or Behavioral Dysfunction,C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0003469,ANXIETY DISORDERS (Anxiety Disorders),Mental or Behavioral Dysfunction,C0349231,PHOBIAS (Phobic anxiety disorder),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0003469,ANXIETY DISORDERS (Anxiety Disorders),Mental or Behavioral Dysfunction,C0031212,PERSONALITY DISORDERS (Personality Disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0003469,ANXIETY DISORDERS (Anxiety Disorders),Mental or Behavioral Dysfunction,C0033975,Psychotic Disorders,Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0003469,ANXIETY DISORDERS (Anxiety Disorders),Mental or Behavioral Dysfunction,C0036341,SCHIZOPHRENIA (Schizophrenia),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0003469,ANXIETY DISORDERS (Anxiety Disorders),Mental or Behavioral Dysfunction,C0028768,OBSESSIVE COMPULSIVE DISORDER (Obsessive-Compulsive Disorder),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0003469,ANXIETY DISORDERS (Anxiety Disorders),Mental or Behavioral Dysfunction,C0004936,MENTAL DISORDERS (Mental disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
C0003469,ANXIETY DISORDERS (Anxiety Disorders),Mental or Behavioral Dysfunction,C0013473,EATING DISORDERS (Eating Disorders),Mental or Behavioral Dysfunction,"Some common ones include  Anxiety disorders, including panic disorder, obsessive-compulsive disorder, and phobias Depression, bipolar disorder, and other mood disorders Eating disorders Personality disorders Post-traumatic stress disorder Psychotic disorders, including schizophrenia  What causes mental disorders?"
