C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0010674,CYSTIC FIBROSIS (Cystic Fibrosis),Disease or Syndrome,"Infants and young children, who are more likely to have diarrhea or vomiting People with chronic illnesses that cause them to urinate or sweat more often, such as diabetes, cystic fibrosis, or kidney problems People who take medicines that cause them to urinate or sweat more People who exercise or work outdoors during hot weather  What are the symptoms of dehydration?"
C0221423,illnesses (Illness (finding)),Sign or Symptom,C0010674,CYSTIC FIBROSIS (Cystic Fibrosis),Disease or Syndrome,"Infants and young children, who are more likely to have diarrhea or vomiting People with chronic illnesses that cause them to urinate or sweat more often, such as diabetes, cystic fibrosis, or kidney problems People who take medicines that cause them to urinate or sweat more People who exercise or work outdoors during hot weather  What are the symptoms of dehydration?"
C0042571,dizziness (Vertigo),Sign or Symptom,C0011175,DEHYDRATION (Dehydration),Disease or Syndrome,"In adults, the symptoms of dehydration include  Feeling very thirsty Dry mouth Urinating and sweating less than usual Dark-colored urine Dry skin Feeling tired Dizziness  In infants and young children, the symptoms of dehydration include  Dry mouth and tongue Crying without tears No wet diapers for 3 hours or more A high fever Being unusually sleepy or drowsy Irritability Eyes that look sunken  Dehydration can be mild, or it can be severe enough to be life-threatening."
C0042571,dizziness (Vertigo),Sign or Symptom,C0439227,HOURS (Hour) [Temporal Concept],Temporal Concept,"In adults, the symptoms of dehydration include  Feeling very thirsty Dry mouth Urinating and sweating less than usual Dark-colored urine Dry skin Feeling tired Dizziness  In infants and young children, the symptoms of dehydration include  Dry mouth and tongue Crying without tears No wet diapers for 3 hours or more A high fever Being unusually sleepy or drowsy Irritability Eyes that look sunken  Dehydration can be mild, or it can be severe enough to be life-threatening."
C0042571,dizziness (Vertigo),Sign or Symptom,C0012833,Dizzyness (Dizziness),Sign or Symptom,"In adults, the symptoms of dehydration include  Feeling very thirsty Dry mouth Urinating and sweating less than usual Dark-colored urine Dry skin Feeling tired Dizziness  In infants and young children, the symptoms of dehydration include  Dry mouth and tongue Crying without tears No wet diapers for 3 hours or more A high fever Being unusually sleepy or drowsy Irritability Eyes that look sunken  Dehydration can be mild, or it can be severe enough to be life-threatening."
C0042571,dizziness (Vertigo),Sign or Symptom,C0151908,DRY SKIN (Dry skin),Sign or Symptom,"In adults, the symptoms of dehydration include  Feeling very thirsty Dry mouth Urinating and sweating less than usual Dark-colored urine Dry skin Feeling tired Dizziness  In infants and young children, the symptoms of dehydration include  Dry mouth and tongue Crying without tears No wet diapers for 3 hours or more A high fever Being unusually sleepy or drowsy Irritability Eyes that look sunken  Dehydration can be mild, or it can be severe enough to be life-threatening."
C0042571,dizziness (Vertigo),Sign or Symptom,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"In adults, the symptoms of dehydration include  Feeling very thirsty Dry mouth Urinating and sweating less than usual Dark-colored urine Dry skin Feeling tired Dizziness  In infants and young children, the symptoms of dehydration include  Dry mouth and tongue Crying without tears No wet diapers for 3 hours or more A high fever Being unusually sleepy or drowsy Irritability Eyes that look sunken  Dehydration can be mild, or it can be severe enough to be life-threatening."
C0011175,DEHYDRATION (Dehydration),Disease or Syndrome,C0439227,HOURS (Hour) [Temporal Concept],Temporal Concept,"In adults, the symptoms of dehydration include  Feeling very thirsty Dry mouth Urinating and sweating less than usual Dark-colored urine Dry skin Feeling tired Dizziness  In infants and young children, the symptoms of dehydration include  Dry mouth and tongue Crying without tears No wet diapers for 3 hours or more A high fever Being unusually sleepy or drowsy Irritability Eyes that look sunken  Dehydration can be mild, or it can be severe enough to be life-threatening."
C0011175,DEHYDRATION (Dehydration),Disease or Syndrome,C0012833,Dizzyness (Dizziness),Sign or Symptom,"In adults, the symptoms of dehydration include  Feeling very thirsty Dry mouth Urinating and sweating less than usual Dark-colored urine Dry skin Feeling tired Dizziness  In infants and young children, the symptoms of dehydration include  Dry mouth and tongue Crying without tears No wet diapers for 3 hours or more A high fever Being unusually sleepy or drowsy Irritability Eyes that look sunken  Dehydration can be mild, or it can be severe enough to be life-threatening."
C0011175,DEHYDRATION (Dehydration),Disease or Syndrome,C0151908,DRY SKIN (Dry skin),Sign or Symptom,"In adults, the symptoms of dehydration include  Feeling very thirsty Dry mouth Urinating and sweating less than usual Dark-colored urine Dry skin Feeling tired Dizziness  In infants and young children, the symptoms of dehydration include  Dry mouth and tongue Crying without tears No wet diapers for 3 hours or more A high fever Being unusually sleepy or drowsy Irritability Eyes that look sunken  Dehydration can be mild, or it can be severe enough to be life-threatening."
C0011175,DEHYDRATION (Dehydration),Disease or Syndrome,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"In adults, the symptoms of dehydration include  Feeling very thirsty Dry mouth Urinating and sweating less than usual Dark-colored urine Dry skin Feeling tired Dizziness  In infants and young children, the symptoms of dehydration include  Dry mouth and tongue Crying without tears No wet diapers for 3 hours or more A high fever Being unusually sleepy or drowsy Irritability Eyes that look sunken  Dehydration can be mild, or it can be severe enough to be life-threatening."
C0439227,HOURS (Hour) [Temporal Concept],Temporal Concept,C0012833,Dizzyness (Dizziness),Sign or Symptom,"In adults, the symptoms of dehydration include  Feeling very thirsty Dry mouth Urinating and sweating less than usual Dark-colored urine Dry skin Feeling tired Dizziness  In infants and young children, the symptoms of dehydration include  Dry mouth and tongue Crying without tears No wet diapers for 3 hours or more A high fever Being unusually sleepy or drowsy Irritability Eyes that look sunken  Dehydration can be mild, or it can be severe enough to be life-threatening."
C0439227,HOURS (Hour) [Temporal Concept],Temporal Concept,C0151908,DRY SKIN (Dry skin),Sign or Symptom,"In adults, the symptoms of dehydration include  Feeling very thirsty Dry mouth Urinating and sweating less than usual Dark-colored urine Dry skin Feeling tired Dizziness  In infants and young children, the symptoms of dehydration include  Dry mouth and tongue Crying without tears No wet diapers for 3 hours or more A high fever Being unusually sleepy or drowsy Irritability Eyes that look sunken  Dehydration can be mild, or it can be severe enough to be life-threatening."
C0439227,HOURS (Hour) [Temporal Concept],Temporal Concept,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"In adults, the symptoms of dehydration include  Feeling very thirsty Dry mouth Urinating and sweating less than usual Dark-colored urine Dry skin Feeling tired Dizziness  In infants and young children, the symptoms of dehydration include  Dry mouth and tongue Crying without tears No wet diapers for 3 hours or more A high fever Being unusually sleepy or drowsy Irritability Eyes that look sunken  Dehydration can be mild, or it can be severe enough to be life-threatening."
C0012833,Dizzyness (Dizziness),Sign or Symptom,C0151908,DRY SKIN (Dry skin),Sign or Symptom,"In adults, the symptoms of dehydration include  Feeling very thirsty Dry mouth Urinating and sweating less than usual Dark-colored urine Dry skin Feeling tired Dizziness  In infants and young children, the symptoms of dehydration include  Dry mouth and tongue Crying without tears No wet diapers for 3 hours or more A high fever Being unusually sleepy or drowsy Irritability Eyes that look sunken  Dehydration can be mild, or it can be severe enough to be life-threatening."
C0012833,Dizzyness (Dizziness),Sign or Symptom,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"In adults, the symptoms of dehydration include  Feeling very thirsty Dry mouth Urinating and sweating less than usual Dark-colored urine Dry skin Feeling tired Dizziness  In infants and young children, the symptoms of dehydration include  Dry mouth and tongue Crying without tears No wet diapers for 3 hours or more A high fever Being unusually sleepy or drowsy Irritability Eyes that look sunken  Dehydration can be mild, or it can be severe enough to be life-threatening."
C0151908,DRY SKIN (Dry skin),Sign or Symptom,C1457887,SYMPTOMS (Symptoms),Sign or Symptom,"In adults, the symptoms of dehydration include  Feeling very thirsty Dry mouth Urinating and sweating less than usual Dark-colored urine Dry skin Feeling tired Dizziness  In infants and young children, the symptoms of dehydration include  Dry mouth and tongue Crying without tears No wet diapers for 3 hours or more A high fever Being unusually sleepy or drowsy Irritability Eyes that look sunken  Dehydration can be mild, or it can be severe enough to be life-threatening."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0009676,CONFUSION (Confusion),Mental or Behavioral Dysfunction,Get medical help right away if the symptoms also include  Confusion Fainting Lack of urination Rapid heartbeat Rapid breathing Shock  How is dehydration diagnosed?
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0011175,DEHYDRATION (Dehydration),Disease or Syndrome,Get medical help right away if the symptoms also include  Confusion Fainting Lack of urination Rapid heartbeat Rapid breathing Shock  How is dehydration diagnosed?
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0039070,FAINTING (Syncope),Sign or Symptom,Get medical help right away if the symptoms also include  Confusion Fainting Lack of urination Rapid heartbeat Rapid breathing Shock  How is dehydration diagnosed?
C0009676,CONFUSION (Confusion),Mental or Behavioral Dysfunction,C0011175,DEHYDRATION (Dehydration),Disease or Syndrome,Get medical help right away if the symptoms also include  Confusion Fainting Lack of urination Rapid heartbeat Rapid breathing Shock  How is dehydration diagnosed?
C0009676,CONFUSION (Confusion),Mental or Behavioral Dysfunction,C0039070,FAINTING (Syncope),Sign or Symptom,Get medical help right away if the symptoms also include  Confusion Fainting Lack of urination Rapid heartbeat Rapid breathing Shock  How is dehydration diagnosed?
C0011175,DEHYDRATION (Dehydration),Disease or Syndrome,C0039070,FAINTING (Syncope),Sign or Symptom,Get medical help right away if the symptoms also include  Confusion Fainting Lack of urination Rapid heartbeat Rapid breathing Shock  How is dehydration diagnosed?
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C0037088,SIGNS SYMPTOMS (Signs and Symptoms),Sign or Symptom,"To make a diagnosis, your health care provider will  Do a physical exam Check your vital signs Ask about your symptoms  You may also have  Blood tests to check your electrolyte levels, especially potassium and sodium."
C1457887,SYMPTOMS (Symptoms),Sign or Symptom,C4722276,ASK (Anaplastic Sarcoma of the Kidney),Neoplastic Process,"To make a diagnosis, your health care provider will  Do a physical exam Check your vital signs Ask about your symptoms  You may also have  Blood tests to check your electrolyte levels, especially potassium and sodium."
C0037088,SIGNS SYMPTOMS (Signs and Symptoms),Sign or Symptom,C4722276,ASK (Anaplastic Sarcoma of the Kidney),Neoplastic Process,"To make a diagnosis, your health care provider will  Do a physical exam Check your vital signs Ask about your symptoms  You may also have  Blood tests to check your electrolyte levels, especially potassium and sodium."
C0011175,DEHYDRATION (Dehydration),Disease or Syndrome,C0332173,Every Day (Daily) [Temporal Concept],Temporal Concept,The key to preventing dehydration is making sure that you get enough fluids:  Drink enough water every day.
C0011175,DEHYDRATION (Dehydration),Disease or Syndrome,C0394996,DRINK (Acute alcoholic intoxication),Mental or Behavioral Dysfunction,The key to preventing dehydration is making sure that you get enough fluids:  Drink enough water every day.
C0332173,Every Day (Daily) [Temporal Concept],Temporal Concept,C0394996,DRINK (Acute alcoholic intoxication),Mental or Behavioral Dysfunction,The key to preventing dehydration is making sure that you get enough fluids:  Drink enough water every day.
C0439228,Day (day) [Temporal Concept],Temporal Concept,C0332173,/day (Daily) [Temporal Concept],Temporal Concept,"Each person's needs can be different, so ask your health care provider how much you should be drinking each day."
C0439228,Day (day) [Temporal Concept],Temporal Concept,C0439505,/day (per day) [Temporal Concept],Temporal Concept,"Each person's needs can be different, so ask your health care provider how much you should be drinking each day."
C0439228,Day (day) [Temporal Concept],Temporal Concept,C4722276,ASK (Anaplastic Sarcoma of the Kidney),Neoplastic Process,"Each person's needs can be different, so ask your health care provider how much you should be drinking each day."
C0332173,/day (Daily) [Temporal Concept],Temporal Concept,C0439505,/day (per day) [Temporal Concept],Temporal Concept,"Each person's needs can be different, so ask your health care provider how much you should be drinking each day."
C0332173,/day (Daily) [Temporal Concept],Temporal Concept,C4722276,ASK (Anaplastic Sarcoma of the Kidney),Neoplastic Process,"Each person's needs can be different, so ask your health care provider how much you should be drinking each day."
C0439505,/day (per day) [Temporal Concept],Temporal Concept,C4722276,ASK (Anaplastic Sarcoma of the Kidney),Neoplastic Process,"Each person's needs can be different, so ask your health care provider how much you should be drinking each day."
C0221423,Sick (Illness (finding)),Sign or Symptom,C0012634,Disorder (Disease),Disease or Syndrome,"If you are exercising in the heat and losing a lot of minerals in sweat, sports drinks can be helpful Avoid drinks that have sugar and caffeine Drink extra fluids when the weather is hot or when you are sick The condition that results from excessive loss of water from a living organism.A state characterized by lower than normal levels of water in the body.A disorder characterized by excessive loss of water from the body."
C0221423,Sick (Illness (finding)),Sign or Symptom,C0236734,caffeine (Caffeine related disorders),Mental or Behavioral Dysfunction,"If you are exercising in the heat and losing a lot of minerals in sweat, sports drinks can be helpful Avoid drinks that have sugar and caffeine Drink extra fluids when the weather is hot or when you are sick The condition that results from excessive loss of water from a living organism.A state characterized by lower than normal levels of water in the body.A disorder characterized by excessive loss of water from the body."
C0221423,Sick (Illness (finding)),Sign or Symptom,C0012634,condition (Disease),Disease or Syndrome,"If you are exercising in the heat and losing a lot of minerals in sweat, sports drinks can be helpful Avoid drinks that have sugar and caffeine Drink extra fluids when the weather is hot or when you are sick The condition that results from excessive loss of water from a living organism.A state characterized by lower than normal levels of water in the body.A disorder characterized by excessive loss of water from the body."
C0221423,Sick (Illness (finding)),Sign or Symptom,C0394996,DRINK (Acute alcoholic intoxication),Mental or Behavioral Dysfunction,"If you are exercising in the heat and losing a lot of minerals in sweat, sports drinks can be helpful Avoid drinks that have sugar and caffeine Drink extra fluids when the weather is hot or when you are sick The condition that results from excessive loss of water from a living organism.A state characterized by lower than normal levels of water in the body.A disorder characterized by excessive loss of water from the body."
C0012634,Disorder (Disease),Disease or Syndrome,C0236734,caffeine (Caffeine related disorders),Mental or Behavioral Dysfunction,"If you are exercising in the heat and losing a lot of minerals in sweat, sports drinks can be helpful Avoid drinks that have sugar and caffeine Drink extra fluids when the weather is hot or when you are sick The condition that results from excessive loss of water from a living organism.A state characterized by lower than normal levels of water in the body.A disorder characterized by excessive loss of water from the body."
C0012634,Disorder (Disease),Disease or Syndrome,C0012634,condition (Disease),Disease or Syndrome,"If you are exercising in the heat and losing a lot of minerals in sweat, sports drinks can be helpful Avoid drinks that have sugar and caffeine Drink extra fluids when the weather is hot or when you are sick The condition that results from excessive loss of water from a living organism.A state characterized by lower than normal levels of water in the body.A disorder characterized by excessive loss of water from the body."
C0012634,Disorder (Disease),Disease or Syndrome,C0394996,DRINK (Acute alcoholic intoxication),Mental or Behavioral Dysfunction,"If you are exercising in the heat and losing a lot of minerals in sweat, sports drinks can be helpful Avoid drinks that have sugar and caffeine Drink extra fluids when the weather is hot or when you are sick The condition that results from excessive loss of water from a living organism.A state characterized by lower than normal levels of water in the body.A disorder characterized by excessive loss of water from the body."
C0236734,caffeine (Caffeine related disorders),Mental or Behavioral Dysfunction,C0012634,condition (Disease),Disease or Syndrome,"If you are exercising in the heat and losing a lot of minerals in sweat, sports drinks can be helpful Avoid drinks that have sugar and caffeine Drink extra fluids when the weather is hot or when you are sick The condition that results from excessive loss of water from a living organism.A state characterized by lower than normal levels of water in the body.A disorder characterized by excessive loss of water from the body."
C0236734,caffeine (Caffeine related disorders),Mental or Behavioral Dysfunction,C0394996,DRINK (Acute alcoholic intoxication),Mental or Behavioral Dysfunction,"If you are exercising in the heat and losing a lot of minerals in sweat, sports drinks can be helpful Avoid drinks that have sugar and caffeine Drink extra fluids when the weather is hot or when you are sick The condition that results from excessive loss of water from a living organism.A state characterized by lower than normal levels of water in the body.A disorder characterized by excessive loss of water from the body."
C0012634,condition (Disease),Disease or Syndrome,C0394996,DRINK (Acute alcoholic intoxication),Mental or Behavioral Dysfunction,"If you are exercising in the heat and losing a lot of minerals in sweat, sports drinks can be helpful Avoid drinks that have sugar and caffeine Drink extra fluids when the weather is hot or when you are sick The condition that results from excessive loss of water from a living organism.A state characterized by lower than normal levels of water in the body.A disorder characterized by excessive loss of water from the body."
C0042963,VOMITING (Vomiting),Sign or Symptom,C0012634,condition (Disease),Disease or Syndrome,"It is usually caused by severe diarrhea, vomiting or diaphoresis.A condition caused by the loss of too much water from the body."
C0042963,VOMITING (Vomiting),Sign or Symptom,C1443924,Severe diarrhoea (Severe diarrhea),Sign or Symptom,"It is usually caused by severe diarrhea, vomiting or diaphoresis.A condition caused by the loss of too much water from the body."
C0012634,condition (Disease),Disease or Syndrome,C1443924,Severe diarrhoea (Severe diarrhea),Sign or Symptom,"It is usually caused by severe diarrhea, vomiting or diaphoresis.A condition caused by the loss of too much water from the body."
C0042963,VOMITING (Vomiting),Sign or Symptom,C0012634,condition (Disease),Disease or Syndrome,Severe diarrhea or vomiting can cause dehydration.A condition resulting from the excessive loss of water from the body.
C0042963,VOMITING (Vomiting),Sign or Symptom,C1443924,Severe diarrhoea (Severe diarrhea),Sign or Symptom,Severe diarrhea or vomiting can cause dehydration.A condition resulting from the excessive loss of water from the body.
C0042963,VOMITING (Vomiting),Sign or Symptom,C0011175,DEHYDRATION (Dehydration),Disease or Syndrome,Severe diarrhea or vomiting can cause dehydration.A condition resulting from the excessive loss of water from the body.
C0012634,condition (Disease),Disease or Syndrome,C1443924,Severe diarrhoea (Severe diarrhea),Sign or Symptom,Severe diarrhea or vomiting can cause dehydration.A condition resulting from the excessive loss of water from the body.
C0012634,condition (Disease),Disease or Syndrome,C0011175,DEHYDRATION (Dehydration),Disease or Syndrome,Severe diarrhea or vomiting can cause dehydration.A condition resulting from the excessive loss of water from the body.
C1443924,Severe diarrhoea (Severe diarrhea),Sign or Symptom,C0011175,DEHYDRATION (Dehydration),Disease or Syndrome,Severe diarrhea or vomiting can cause dehydration.A condition resulting from the excessive loss of water from the body.
C0042963,VOMITING (Vomiting),Sign or Symptom,C1443924,Severe diarrhoea (Severe diarrhea),Sign or Symptom,"It is usually caused by severe diarrhea, vomiting or diaphoresis.An emotional state characterized by feelings of sadness, emptiness, and/or tearfulness.A false sensory perception in the absence of an external stimulus, as distinct from an illusion which is a misperception of an external stimulus.A sight, sound, smell, taste, or touch that a person believes to be real but is not real."
C0042963,VOMITING (Vomiting),Sign or Symptom,N C0020903,ILLUSION (Illusions),Mental or Behavioral Dysfunction,"It is usually caused by severe diarrhea, vomiting or diaphoresis.An emotional state characterized by feelings of sadness, emptiness, and/or tearfulness.A false sensory perception in the absence of an external stimulus, as distinct from an illusion which is a misperception of an external stimulus.A sight, sound, smell, taste, or touch that a person believes to be real but is not real."
C1443924,Severe diarrhoea (Severe diarrhea),Sign or Symptom,N C0020903,ILLUSION (Illusions),Mental or Behavioral Dysfunction,"It is usually caused by severe diarrhea, vomiting or diaphoresis.An emotional state characterized by feelings of sadness, emptiness, and/or tearfulness.A false sensory perception in the absence of an external stimulus, as distinct from an illusion which is a misperception of an external stimulus.A sight, sound, smell, taste, or touch that a person believes to be real but is not real."
C0027765,"Disease, Nervous System (nervous system disorder)",Disease or Syndrome,C0004936,MENTAL DISORDERS (Mental disorders),Mental or Behavioral Dysfunction,"Hallucinations can be caused by nervous system disease, certain drugs, or mental disorders.Perception of an object or event without an external source or stimulus; which is perceived as real.A disorder characterized by a false sensory perception in the absence of an external stimulus.Subjectively experienced sensations in the absence of an appropriate stimulus, but which are regarded by the individual as real."
C0027765,"Disease, Nervous System (nervous system disorder)",Disease or Syndrome,C0018524,HALLUCINATIONS (Hallucinations),Mental or Behavioral Dysfunction,"Hallucinations can be caused by nervous system disease, certain drugs, or mental disorders.Perception of an object or event without an external source or stimulus; which is perceived as real.A disorder characterized by a false sensory perception in the absence of an external stimulus.Subjectively experienced sensations in the absence of an appropriate stimulus, but which are regarded by the individual as real."
C0027765,"Disease, Nervous System (nervous system disorder)",Disease or Syndrome,C0012634,Disorder (Disease),Disease or Syndrome,"Hallucinations can be caused by nervous system disease, certain drugs, or mental disorders.Perception of an object or event without an external source or stimulus; which is perceived as real.A disorder characterized by a false sensory perception in the absence of an external stimulus.Subjectively experienced sensations in the absence of an appropriate stimulus, but which are regarded by the individual as real."
C0027765,"Disease, Nervous System (nervous system disorder)",Disease or Syndrome,C0278134,Absence of sensation,Sign or Symptom,"Hallucinations can be caused by nervous system disease, certain drugs, or mental disorders.Perception of an object or event without an external source or stimulus; which is perceived as real.A disorder characterized by a false sensory perception in the absence of an external stimulus.Subjectively experienced sensations in the absence of an appropriate stimulus, but which are regarded by the individual as real."
C0027765,"Disease, Nervous System (nervous system disorder)",Disease or Syndrome,C0558072,False perception,Mental or Behavioral Dysfunction,"Hallucinations can be caused by nervous system disease, certain drugs, or mental disorders.Perception of an object or event without an external source or stimulus; which is perceived as real.A disorder characterized by a false sensory perception in the absence of an external stimulus.Subjectively experienced sensations in the absence of an appropriate stimulus, but which are regarded by the individual as real."
C0004936,MENTAL DISORDERS (Mental disorders),Mental or Behavioral Dysfunction,C0018524,HALLUCINATIONS (Hallucinations),Mental or Behavioral Dysfunction,"Hallucinations can be caused by nervous system disease, certain drugs, or mental disorders.Perception of an object or event without an external source or stimulus; which is perceived as real.A disorder characterized by a false sensory perception in the absence of an external stimulus.Subjectively experienced sensations in the absence of an appropriate stimulus, but which are regarded by the individual as real."
C0004936,MENTAL DISORDERS (Mental disorders),Mental or Behavioral Dysfunction,C0012634,Disorder (Disease),Disease or Syndrome,"Hallucinations can be caused by nervous system disease, certain drugs, or mental disorders.Perception of an object or event without an external source or stimulus; which is perceived as real.A disorder characterized by a false sensory perception in the absence of an external stimulus.Subjectively experienced sensations in the absence of an appropriate stimulus, but which are regarded by the individual as real."
C0004936,MENTAL DISORDERS (Mental disorders),Mental or Behavioral Dysfunction,C0278134,Absence of sensation,Sign or Symptom,"Hallucinations can be caused by nervous system disease, certain drugs, or mental disorders.Perception of an object or event without an external source or stimulus; which is perceived as real.A disorder characterized by a false sensory perception in the absence of an external stimulus.Subjectively experienced sensations in the absence of an appropriate stimulus, but which are regarded by the individual as real."
C0004936,MENTAL DISORDERS (Mental disorders),Mental or Behavioral Dysfunction,C0558072,False perception,Mental or Behavioral Dysfunction,"Hallucinations can be caused by nervous system disease, certain drugs, or mental disorders.Perception of an object or event without an external source or stimulus; which is perceived as real.A disorder characterized by a false sensory perception in the absence of an external stimulus.Subjectively experienced sensations in the absence of an appropriate stimulus, but which are regarded by the individual as real."
C0018524,HALLUCINATIONS (Hallucinations),Mental or Behavioral Dysfunction,C0012634,Disorder (Disease),Disease or Syndrome,"Hallucinations can be caused by nervous system disease, certain drugs, or mental disorders.Perception of an object or event without an external source or stimulus; which is perceived as real.A disorder characterized by a false sensory perception in the absence of an external stimulus.Subjectively experienced sensations in the absence of an appropriate stimulus, but which are regarded by the individual as real."
C0018524,HALLUCINATIONS (Hallucinations),Mental or Behavioral Dysfunction,C0278134,Absence of sensation,Sign or Symptom,"Hallucinations can be caused by nervous system disease, certain drugs, or mental disorders.Perception of an object or event without an external source or stimulus; which is perceived as real.A disorder characterized by a false sensory perception in the absence of an external stimulus.Subjectively experienced sensations in the absence of an appropriate stimulus, but which are regarded by the individual as real."
C0018524,HALLUCINATIONS (Hallucinations),Mental or Behavioral Dysfunction,C0558072,False perception,Mental or Behavioral Dysfunction,"Hallucinations can be caused by nervous system disease, certain drugs, or mental disorders.Perception of an object or event without an external source or stimulus; which is perceived as real.A disorder characterized by a false sensory perception in the absence of an external stimulus.Subjectively experienced sensations in the absence of an appropriate stimulus, but which are regarded by the individual as real."
C0012634,Disorder (Disease),Disease or Syndrome,C0278134,Absence of sensation,Sign or Symptom,"Hallucinations can be caused by nervous system disease, certain drugs, or mental disorders.Perception of an object or event without an external source or stimulus; which is perceived as real.A disorder characterized by a false sensory perception in the absence of an external stimulus.Subjectively experienced sensations in the absence of an appropriate stimulus, but which are regarded by the individual as real."
C0012634,Disorder (Disease),Disease or Syndrome,C0558072,False perception,Mental or Behavioral Dysfunction,"Hallucinations can be caused by nervous system disease, certain drugs, or mental disorders.Perception of an object or event without an external source or stimulus; which is perceived as real.A disorder characterized by a false sensory perception in the absence of an external stimulus.Subjectively experienced sensations in the absence of an appropriate stimulus, but which are regarded by the individual as real."
C0278134,Absence of sensation,Sign or Symptom,C0558072,False perception,Mental or Behavioral Dysfunction,"Hallucinations can be caused by nervous system disease, certain drugs, or mental disorders.Perception of an object or event without an external source or stimulus; which is perceived as real.A disorder characterized by a false sensory perception in the absence of an external stimulus.Subjectively experienced sensations in the absence of an appropriate stimulus, but which are regarded by the individual as real."
C0525045,AFFECTIVE DISORDER (Mood Disorders),Mental or Behavioral Dysfunction,C0233477,Dysphoric mood,Mental or Behavioral Dysfunction,They may be of organic origin or associated with MENTAL DISORDERS.An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities.
C0525045,AFFECTIVE DISORDER (Mood Disorders),Mental or Behavioral Dysfunction,C0004936,MENTAL DISORDERS (Mental disorders),Mental or Behavioral Dysfunction,They may be of organic origin or associated with MENTAL DISORDERS.An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities.
C0525045,AFFECTIVE DISORDER (Mood Disorders),Mental or Behavioral Dysfunction,C0439659,Origin (Beginning) [Temporal Concept],Temporal Concept,They may be of organic origin or associated with MENTAL DISORDERS.An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities.
C0233477,Dysphoric mood,Mental or Behavioral Dysfunction,C0004936,MENTAL DISORDERS (Mental disorders),Mental or Behavioral Dysfunction,They may be of organic origin or associated with MENTAL DISORDERS.An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities.
C0233477,Dysphoric mood,Mental or Behavioral Dysfunction,C0439659,Origin (Beginning) [Temporal Concept],Temporal Concept,They may be of organic origin or associated with MENTAL DISORDERS.An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities.
C0004936,MENTAL DISORDERS (Mental disorders),Mental or Behavioral Dysfunction,C0439659,Origin (Beginning) [Temporal Concept],Temporal Concept,They may be of organic origin or associated with MENTAL DISORDERS.An affective disorder manifested by either a dysphoric mood or loss of interest or pleasure in usual activities.
C2939186,mood disturbance (Disturbance in mood),Mental or Behavioral Dysfunction,C0205322,Persistent [Temporal Concept],Temporal Concept,The mood disturbance is prominent and relatively persistent.A state of reduced sensibility and response to stimuli which is distinguished from COMA in that the person can be aroused by vigorous and repeated stimulation.
C2939186,mood disturbance (Disturbance in mood),Mental or Behavioral Dysfunction,C0009421,COMA (Comatose),Disease or Syndrome,The mood disturbance is prominent and relatively persistent.A state of reduced sensibility and response to stimuli which is distinguished from COMA in that the person can be aroused by vigorous and repeated stimulation.
C0205322,Persistent [Temporal Concept],Temporal Concept,C0009421,COMA (Comatose),Disease or Syndrome,The mood disturbance is prominent and relatively persistent.A state of reduced sensibility and response to stimuli which is distinguished from COMA in that the person can be aroused by vigorous and repeated stimulation.
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0023380,LETHARGY (Lethargy),Sign or Symptom,"The word derives from Latin stupere and is related to stunned, stupid, dazed or LETHARGY.Depression is a serious medical illness."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0344315,depression (Depressed mood),Mental or Behavioral Dysfunction,"The word derives from Latin stupere and is related to stunned, stupid, dazed or LETHARGY.Depression is a serious medical illness."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0009676,dazed (Confusion),Mental or Behavioral Dysfunction,"The word derives from Latin stupere and is related to stunned, stupid, dazed or LETHARGY.Depression is a serious medical illness."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0009676,dazing (Confusion),Mental or Behavioral Dysfunction,"The word derives from Latin stupere and is related to stunned, stupid, dazed or LETHARGY.Depression is a serious medical illness."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0011570,DEPRESSION (Mental Depression),Mental or Behavioral Dysfunction,"The word derives from Latin stupere and is related to stunned, stupid, dazed or LETHARGY.Depression is a serious medical illness."
C0011581,Depression (Depressive disorder),Mental or Behavioral Dysfunction,C0221423,Illness (Illness (finding)),Sign or Symptom,"The word derives from Latin stupere and is related to stunned, stupid, dazed or LETHARGY.Depression is a serious medical illness."
